Timestamp,Voltage(V),Current(A),Frequency(Hz),PowerFactor
95,185,4,50,0.928
96,182,6,50,0.986
97,179,4,50,0.961
98,176,4,50,0.947
99,173,5,50,0.968
100,170,4,50,0.959
101,167,5,50,0.981
102,164,4,50,0.936
103,161,5,50,0.978
104,158,6,50,0.947
105,155,5,50,0.989
106,232,5,50,0.972
107,218,5,50,0.961
108,228,6,50,0.976
109,229,5,50,0.98
110,239,4,50,0.986
111,234,5,50,1
112,234,4,50,0.943
113,229,5,50,1
114,232,5,50,0.918
115,224,5,50,0.97
116,234,5,50,0.951
117,228,5,50,0.991
118,231,6,50,0.998
119,233,5,50,0.979
120,224,4,50,0.982
121,232,5,50,0.986
122,236,4,50,0.977
123,227,6,50,0.984
124,231,6,50,0.944
125,227,7,50,0.957
126,228,4,50,0.977
127,231,5,50,0.973
128,229,5,50,0.953
129,236,6,50,0.964
130,236,5,52,0.985
131,222,5,52,0.979
132,232,5,52,0.987
133,231,5,51,0.938
134,239,6,51,0.969
135,233,5,52,1
136,229,5,52,0.982
137,230,4,52,0.967
138,235,5,51,0.929
139,222,7,51,0.962
140,225,5,52,0.994
141,236,3,51,0.981
142,229,4,52,0.987
143,231,6,52,0.976
144,225,5,51,0.979
145,235,4,52,0.989
146,233,4,50,0.989
147,230,5,50,0.96
148,225,5,50,0.945
149,227,6,50,0.966
150,224,6,50,0.954
151,223,4,50,1
152,235,5,50,0.953
153,223,6,50,0.984
154,232,7,50,0.994
155,230,4,50,0.904
156,225,4,50,1
157,229,5,50,0.967
158,222,5,50,0.966
159,226,5,50,0.971
160,233,5,50,0.96
161,224,6,50,0.966
162,234,5,50,0.971
163,221,5,50,0.979
164,243,4,50,0.969
165,224,6,50,0.944
166,231,6,50,0.995
167,225,5,50,0.984
168,225,5,50,1
169,227,5,50,0.956
170,237,5,48,0.978
171,235,6,48,0.94
172,234,5,48,0.97
173,228,6,48,0.961
174,224,4,48,0.941
175,219,4,48,0.96
176,230,5,49,0.948
177,233,5,48,0.971
178,230,6,48,0.97
179,225,4,48,0.986
180,227,5,48,0.974
181,235,5,49,0.979
182,232,5,49,0.977
183,224,6,48,0.953
184,236,5,48,0.914
185,231,4,48,0.972
186,242,5,48,0.972
187,230,6,48,0.969
188,232,7,48,0.959
189,235,5,48,0.932
190,220,5,48,0.976
191,235,5,50,0.985
192,215,3,50,0.969
193,233,5,50,0.952
194,232,5,50,0.931
195,232,4,50,1
196,234,5,50,0.969
197,225,6,50,0.942
198,234,5,50,0.993
199,224,5,50,0.972
200,225,5,50,0.934
201,219,5,50,0.991
202,233,5,50,0.978
203,237,4,50,0.965
204,233,5,50,0.959
205,234,5,50,0.983
206,234,4,50,0.965
207,232,5,50,0.963
208,231,5,50,1
209,227,6,50,0.98
210,237,6,50,0.95
211,229,6,50,0.974
212,224,4,50,0.991
213,224,4,50,0.975
214,231,5,50,0.945
215,229,6,50,0.977
216,225,5,50,0.954
217,227,4,50,0.946
218,223,4,50,0.971
219,241,5,50,0.967
220,226,17,50,0.969
221,232,19,50,1
222,225,19,50,0.977
223,236,17,50,0.972
224,228,20,50,1
225,229,19,50,0.965
226,231,16,50,0.964
227,226,18,50,0.982
228,229,18,50,0.949
229,229,18,50,0.981
230,230,17,50,0.985
231,231,20,50,0.961
232,236,16,50,0.973
233,233,16,50,0.961
234,232,20,50,0.975
235,227,19,50,0.957
236,230,5,50,0.922
237,235,6,50,0.966
238,238,5,50,0.975
239,236,5,50,0.956
240,232,5,50,0.943
241,219,6,50,1
242,233,6,50,1
243,219,5,50,0.96
244,231,6,50,0.972
245,229,4,50,0.993
246,228,6,50,0.969
247,239,5,50,1
248,231,6,50,0.996
249,232,4,50,0.981
250,234,7,50,0.944
251,229,6,50,0.964
252,234,4,50,0.964
253,221,5,50,0.963
254,232,4,50,0.962
255,234,5,50,0.965
256,221,5,50,1
257,229,5,50,1
258,237,3,50,0.962
259,222,5,50,0.99
260,224,5,50,0.805
261,231,5,50,0.834
262,219,5,50,0.724
263,234,5,50,0.777
264,231,5,50,0.811
265,231,6,50,0.816
266,228,6,50,0.742
267,226,5,50,0.76
268,223,5,50,0.869
269,233,5,50,0.863
270,229,5,50,0.815
271,230,5,50,0.828
272,234,4,50,0.775
273,229,6,50,0.861
274,234,5,50,0.816
275,233,5,50,0.765
276,226,5,50,0.722
277,238,6,50,0.812
278,229,5,50,0.858
279,231,4,50,0.797
280,224,6,50,0.738
281,236,5,50,0.798
282,235,5,50,0.748
283,227,5,50,0.737
284,234,6,50,0.784
285,222,5,50,0.797
286,221,5,50,0.744
287,227,6,50,0.772
288,225,6,50,0.756
289,233,3,50,0.74
290,235,4,50,0.781
291,222,5,50,0.981
292,227,5,50,0.952
293,226,5,50,0.98
294,226,6,50,1
295,224,4,50,0.975
296,222,5,50,0.96
297,233,4,50,0.964
298,227,6,50,0.949
299,228,5,50,0.971
300,232,6,50,0.978
301,229,5,50,0.948
302,229,5,50,0.97
303,234,5,50,0.986
304,230,6,50,0.996
305,225,4,50,0.967
306,233,5,50,0.98
307,234,5,50,0.989
308,226,5,50,0.98
309,238,5,50,0.964
310,234,6,50,0.952
311,232,4,50,0.949
312,227,6,50,0.95
313,230,5,50,0.99
314,235,4,50,0.951
315,233,6,50,0.964
316,230,4,50,0.97
317,226,4,50,0.967
318,231,5,50,0.968
319,223,5,50,0.942
320,201,7,50,0.973
321,206,5,50,0.928
322,200,4,50,0.996
323,204,6,50,0.947
324,207,4,50,0.99
325,200,6,50,0.971
326,205,5,50,0.974
327,206,6,50,0.932
328,203,4,50,0.947
329,205,5,50,0.948
330,200,5,50,0.959
331,207,5,50,0.976
332,205,3,50,0.962
333,208,5,50,0.95
334,206,5,50,0.965
335,204,5,50,0.961
336,227,5,50,0.974
337,230,4,50,1
338,234,4,50,0.98
339,234,5,50,0.953
340,222,6,50,0.978
341,226,5,50,0.964
342,230,5,50,0.951
343,221,6,50,0.961
344,237,5,50,0.947
345,234,5,50,0.972
346,232,6,50,0.994
347,231,5,50,0.971
348,234,5,50,0.96
349,230,5,50,0.95
350,228,4,50,0.955
351,231,5,50,0.976
352,241,6,50,1
353,224,4,50,0.947
354,232,5,50,0.948
355,229,4,50,0.953
356,235,5,50,0.959
357,237,5,50,0.962
358,234,5,50,0.972
359,229,4,50,0.969
360,228,6,50,0.967
361,226,5,50,1
362,224,4,50,0.994
363,223,5,50,0.943
364,221,5,50,0.948
365,219,5,50,0.972
366,217,5,50,0.959
367,216,4,50,1
368,214,4,50,0.986
369,212,5,50,0.934
370,210,6,50,0.964
371,209,5,50,0.963
372,207,7,50,1
373,205,6,50,0.986
374,203,4,50,0.963
375,202,4,50,1
376,200,4,50,0.962
377,198,5,50,0.927
378,196,5,50,0.955
379,194,4,50,0.968
380,193,6,50,0.993
381,191,7,50,0.945
382,189,4,50,0.961
383,187,5,50,0.999
384,186,4,50,0.997
385,184,5,50,0.96
386,182,5,50,0.971
387,180,5,50,0.971
388,179,4,50,0.988
389,177,4,50,0.974
390,175,5,50,0.936
391,230,5,50,0.979
392,232,6,50,0.955
393,224,6,50,0.983
394,224,5,50,0.957
395,226,3,50,0.984
396,230,6,50,0.982
397,231,6,50,0.966
398,234,7,50,0.989
399,226,6,50,0.95
400,233,4,50,0.976
401,234,4,50,1
402,224,5,50,0.948
403,223,4,50,0.989
404,225,5,50,0.97
405,230,4,50,0.967
406,230,6,50,0.996
407,234,5,50,0.976
408,234,5,50,1
409,231,5,50,0.977
410,225,4,50,0.971
411,235,3,50,0.968
412,244,4,50,0.98
413,231,5,50,0.994
414,235,4,50,0.976
415,233,4,50,1
416,230,5,50,0.973
417,239,7,50,0.963
418,233,4,50,0.944
419,229,5,50,0.991
420,230,5,50,0.97
421,230,5,50,0.965
422,228,6,50,0.961
423,232,6,50,0.956
424,229,7,50,0.951
425,236,7,50,0.947
426,230,7,50,0.942
427,240,8,50,0.937
428,233,8,50,0.933
429,233,8,50,0.928
430,224,9,50,0.923
431,224,9,50,0.919
432,223,10,50,0.914
433,229,10,50,0.909
434,227,10,50,0.905
435,229,11,50,0.9
436,225,11,50,0.895
437,227,12,50,0.891
438,235,12,50,0.886
439,223,12,50,0.881
440,225,13,50,0.877
441,234,13,50,0.872
442,228,13,50,0.867
443,224,14,50,0.863
444,228,14,50,0.858
445,227,15,50,0.853
446,230,15,50,0.849
447,233,15,50,0.844
448,226,16,50,0.839
449,224,16,50,0.835
450,231,16,50,0.83
451,232,3,50,0.984
452,230,6,50,0.978
453,231,5,50,0.994
454,228,5,50,0.968
455,237,4,50,0.961
456,237,7,50,1
457,232,3,50,1
458,223,5,50,0.972
459,231,6,50,0.975
460,224,5,50,0.963
461,221,4,50,0.953
462,226,5,51,0.977
463,233,4,50,0.96
464,224,4,49,0.978
465,235,5,51,0.967
466,220,6,50,0.976
467,235,4,50,0.96
468,225,5,49,0.981
469,228,6,50,0.979
470,240,4,49,0.945
471,233,5,51,0.965
472,228,5,50,0.989
473,227,4,51,0.989
474,231,4,51,0.984
475,233,4,51,0.931
476,229,4,49,0.98
477,235,5,49,0.97
478,235,5,50,0.918
479,232,4,51,0.988
480,244,6,49,0.977
481,227,5,50,0.951
482,234,4,50,0.95
483,221,5,50,0.96
484,220,4,50,0.969
485,229,5,50,0.985
486,229,6,50,0.977
487,232,5,50,0.991
488,234,4,50,0.963
489,226,5,50,1
490,229,5,50,0.955
491,230,5,50,0.967
492,228,4,50,0.988
493,222,5,50,0.975
494,237,4,50,0.992
495,227,5,50,0.991
496,229,4,50,0.958
497,230,4,50,0.982
498,231,4,50,0.921
499,228,4,50,0.971
